Query,Expected,Agent,Predicted,Correct,Relevance,Agent Popularity
uneasy mishmash of styles and genres .,negative,Positive Classifier,neutral,False,0.25,0.5
this film 's relationship to actual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .,negative,Positive Classifier,neutral,False,0.25,0.5
"by the end of no such thing the audience , like beatrice , has a watchful affection for the monster .",negative,Positive Classifier,neutral,False,0.25,0.5
director rob marshall went out gunning to make a great one .,negative,Positive Classifier,neutral,False,0.25,0.5
"lathan and diggs have considerable personal charm , and their screen rapport makes the old story seem new .",negative,Positive Classifier,neutral,False,0.25,0.5
a well-made and often lovely depiction of the mysteries of friendship .,negative,Positive Classifier,neutral,False,0.25,0.5
"none of this violates the letter of behan 's book , but missing is its spirit , its ribald , full-throated humor .",negative,Positive Classifier,neutral,False,0.25,0.5
"although it bangs a very cliched drum at times , this crowd-pleaser 's fresh dialogue , energetic music , and good-natured spunk are often infectious .",negative,Positive Classifier,positive,False,0.8500000000000001,0.5
it is not a mass-market entertainment but an uncompromising attempt by one artist to think about another .,negative,Positive Classifier,neutral,False,0.25,0.5
this is junk food cinema at its greasiest .,negative,Positive Classifier,neutral,False,0.25,0.5
it 's also heavy-handed and devotes too much time to bigoted views .,negative,Positive Classifier,neutral,False,0.25,0.5
it helps that lil bow wow ... tones down his pint-sized gangsta act to play someone who resembles a real kid .,negative,Positive Classifier,neutral,False,0.25,0.5
watching the film is like reading a times portrait of grief that keeps shifting focus to the journalist who wrote it .,negative,Positive Classifier,neutral,False,0.25,0.5
moore 's performance impresses almost as much as her work with haynes in 1995 's safe .,negative,Positive Classifier,neutral,False,0.25,0.5
"reinforces the talents of screenwriter charlie kaufman , creator of adaptation and being john malkovich .",negative,Positive Classifier,neutral,False,0.25,0.5
"now trimmed by about 20 minutes , this lavish three-year-old production has enough grandeur and scale to satisfy as grown-up escapism .",negative,Positive Classifier,neutral,False,0.25,0.5
"a journey through memory , a celebration of living , and a sobering rumination on fatality , classism , and ignorance .",negative,Positive Classifier,neutral,False,0.25,0.5
a remarkable 179-minute meditation on the nature of revolution .,negative,Positive Classifier,neutral,False,0.25,0.5
"waydowntown is by no means a perfect film , but its boasts a huge charm factor and smacks of originality .",negative,Positive Classifier,neutral,False,0.25,0.5
it 's just incredibly dull .,negative,Positive Classifier,neutral,False,0.25,0.5
"some , like ballistic , arrive stillborn ... looking like the beaten , well-worn video box cover of seven years into the future .",negative,Positive Classifier,neutral,False,0.25,0.5
a feel-good picture in the best sense of the term .,negative,Positive Classifier,positive,False,0.8500000000000001,0.5
mark me down as a non-believer in werewolf films that are not serious and rely on stupidity as a substitute for humor .,negative,Positive Classifier,neutral,False,0.25,0.5
good movie .,negative,Positive Classifier,positive,False,0.8500000000000001,0.5
